Time [s],easting [m],northing [m],altitude [m],local_rssi [dBm],remote_rssi[dBm]
0:00:00.947144,590721.0306345414,6136518.893120629,79.74796493829045,-33.8,-35.4
0:00:01.947102,590720.9071763513,6136519.346996431,79.68296291034525,-33.8,-35.4
0:00:02.946778,590720.797012018,6136520.079446782,79.56595727615561,-32.3,-35.4
0:00:03.947176,590720.7690341428,6136521.748678978,79.20693852085216,-30.2,-33.3
0:00:04.946949,590720.7179001777,6136522.693851892,79.12292883623256,-40.2,-31.7
0:00:05.946924,590720.5721156481,6136524.850472245,78.93990750926986,-47.0,-44.9
0:00:06.947214,590720.290308433,6136525.913355239,78.79190256428055,-52.8,-47.0
0:00:07.947234,590720.076843294,6136527.044435603,78.61789501027522,-50.7,-53.8
0:00:08.946864,590719.7707868452,6136529.286817317,78.48987692734778,-50.7,-55.4
0:00:09.946750,590719.5070780305,6136530.394600639,78.32487097633448,-53.3,-51.7
0:00:10.947284,590719.3599215486,6136532.617985123,78.3048488999095,-53.3,-52.3
0:00:11.947258,590719.0722348837,6136533.65848321,78.23484436957644,-47.5,-50.2
0:00:12.947241,590718.6019249884,6136535.563526631,78.25783457835814,-51.2,-50.7
0:00:13.947188,590718.3520359392,6136536.615933888,78.11282890570294,-44.4,-46.5
0:00:14.947253,590718.0507848486,6136538.624641463,78.01581341886282,-43.8,-45.4
0:00:15.947282,590717.8710679634,6136539.6562273,77.9258061279718,-49.1,-48.1
0:00:16.947660,590717.7653698435,6136541.713483428,77.71378488689058,-59.6,-55.9
0:00:17.947276,590717.6013023783,6136542.600674363,77.47877886765393,-53.8,-55.9
0:00:18.948423,590717.625077254,6136543.603047598,77.22376652155374,-51.2,-54.9
0:00:19.947447,590717.1497360363,6136545.752892806,76.92475399586124,-51.7,-55.9
0:00:20.947707,590716.613306271,6136547.790161669,76.85674440425723,-49.6,-50.7
0:00:21.948641,590716.3833462576,6136548.798450534,76.7977387146031,-53.3,-51.2
0:00:22.949219,590716.2837319588,6136549.943003714,76.83572797570396,-52.8,-55.4
0:00:23.947211,590715.7357715032,6136551.924375371,76.88471934044686,-59.6,-53.3
0:00:24.948581,590715.5696458843,6136552.911712508,76.99771220186084,-59.1,-62.3
0:00:25.947464,590714.9700698355,6136554.936551313,77.08470442492961,-59.1,-59.1
0:00:26.947456,590714.8202123089,6136556.057807512,77.1406952881716,-56.5,-57.0
0:00:27.947666,590714.6785225512,6136557.090175231,77.13368697378253,-55.9,-54.9
0:00:28.948219,590714.2570876232,6136559.085280233,77.21767481851076,-54.9,-55.4
0:00:29.948441,590713.7442485407,6136560.900393389,77.20766719022703,-57.5,-55.9
0:00:30.948570,590713.6100405487,6136561.877254702,77.36965932488866,-51.7,-54.4
0:00:31.948238,590713.5509692193,6136562.9001888735,77.37664892823926,-55.9,-52.3
0:00:32.947178,590713.0138565428,6136564.970840228,77.38763895257327,-56.5,-55.9
0:00:33.947541,590712.8398604455,6136565.724242614,77.20563475436107,-57.5,-58.1
0:00:34.947451,590712.3489418078,6136567.706787291,77.10662458248194,-60.2,-60.7
0:00:35.948612,590712.1560943371,6136568.760367495,77.04361737228743,-57.0,-60.2
0:00:36.946829,590711.8547800962,6136571.0807715375,76.9815982190398,-54.4,-57.5
0:00:37.947476,590711.6809457191,6136572.134742627,76.89259049894335,-58.1,-55.4
0:00:38.947796,590711.3403684497,6136573.897737069,76.84857890502558,-60.2,-60.2
0:00:39.946980,590711.1208658266,6136574.705864261,76.67457527089834,-57.5,-61.7
0:00:40.947217,590710.7908114059,6136575.957000783,75.8835693848837,-56.5,-57.0
0:00:41.946927,590710.7870840435,6136576.446734339,75.3425637541152,-57.5,-59.1
0:00:42.970346,590710.5525782142,6136578.6015311275,74.77054476103667,-58.6,-57.0
0:00:43.947174,590710.4428067221,6136579.623423077,74.44853571498923,-53.8,-58.6
0:00:44.948598,590710.1420186756,6136581.609876554,74.0595204468367,-54.9,-57.5
0:00:45.946614,590709.9585508361,6136582.207235633,73.7855183214752,-55.9,-57.0
0:00:46.949401,590709.8386878665,6136582.794770207,73.55351462449701,-55.4,-58.6
0:00:47.946664,590709.2859704008,6136583.774160304,73.23651781890715,-57.5,-57.5
0:00:48.948336,590708.9259647845,6136584.323362114,73.16252093749497,-55.4,-57.5
0:00:49.949624,590708.6313267554,6136585.085416653,73.30651983189328,-60.7,-57.5
0:00:50.947115,590708.1241438483,6136586.9340428,73.32251164561308,-62.3,-61.2
0:00:51.947694,590708.0078337756,6136588.890892551,73.34549182768967,-61.7,-57.0
0:00:52.947729,590707.7419105023,6136589.798254073,73.41248825888712,-63.3,-59.6
0:00:53.947005,590707.3065006324,6136591.548167281,73.49047932203787,-59.6,-60.7
0:00:55.180548,590707.0158735701,6136593.657282366,73.77646234068222,-60.7,-59.1
0:00:55.947429,590706.9599390316,6136594.836129796,73.82945002463855,-64.9,-63.8
0:00:56.947181,590706.7206719186,6136595.988944424,73.96344287391969,-62.3,-63.8
0:00:57.956364,590706.2088489174,6136598.371813758,74.2374285495388,-65.9,-64.4
0:00:58.947774,590705.9209401291,6136599.423440071,74.42542387183904,-63.3,-65.4
0:00:59.948141,590705.7278664595,6136600.488147924,74.54841652604858,-70.2,-68.6
0:01:00.947366,590705.4856537756,6136602.709578824,74.88639693949017,-59.1,-65.9
0:01:02.087038,590704.9682477365,6136604.747239978,75.58238679988304,-61.7,-63.8
0:01:02.946913,590704.4906698196,6136605.772703384,75.97038745542426,-58.1,-63.8
0:01:03.947216,590704.1389286352,6136606.845281749,76.33538422230613,-55.4,-58.1
0:01:04.947224,590703.5923518317,6136608.759890861,76.91437629437826,-58.6,-59.1
0:01:05.947434,590703.4042441875,6136609.891493182,77.09036803016605,-54.9,-55.4
0:01:06.947614,590703.1984572108,6136612.191597303,77.52234654928861,-66.5,-63.3
0:01:07.947771,590703.0354712912,6136613.334848088,77.66533748120236,-65.9,-66.5
0:01:08.950170,590702.6244335265,6136615.441488278,78.04032370597199,-65.9,-68.6
0:01:09.947130,590702.4055534597,6136616.527929885,78.11731678411297,-64.9,-61.7
0:01:10.946835,590702.286930751,6136617.6720926175,78.24430652733543,-68.1,-65.4
0:01:11.947506,590701.9027780751,6136620.013058554,78.38328929113054,-59.6,-62.8
0:01:12.947147,590701.8140134636,6136621.24689145,78.46227719079039,-62.8,-67.0
0:01:13.947645,590701.510877011,6136623.656315063,78.42525700146963,-63.8,-65.4
0:01:14.947371,590701.4286788075,6136624.879150895,78.40424485429801,-62.3,-61.7
0:01:15.947176,590701.298876803,6136627.492514424,78.1922176762105,-61.7,-63.8
0:01:16.947879,590701.3357195868,6136628.784589525,78.0462015595526,-65.9,-63.8
0:01:17.946490,590701.401466383,6136631.446500899,77.64616862368274,-60.7,-63.3
0:01:18.948389,590701.4127301712,6136632.749182269,77.41515305914794,-69.6,-61.2
0:01:19.947808,590701.6656291942,6136635.559657367,76.77211341561343,-68.1,-67.5
0:01:20.947146,590701.9029853212,6136636.967174704,76.4620906251154,-60.7,-63.3
0:01:21.946097,590702.3333343741,6136639.781297515,75.81004622889913,-71.2,-69.6
0:01:22.947155,590702.6338364965,6136641.201244992,75.44302161593221,-62.3,-63.3
0:01:23.947311,590702.9275434117,6136642.643316918,75.05099692300175,-65.9,-62.3
0:01:24.946821,590703.4176735701,6136645.32508416,74.34595248704272,-64.9,-65.4
0:01:25.949418,590703.6686184376,6136646.688352781,73.94692984964647,-63.3,-63.8
0:01:26.948095,590703.9078030521,6136648.006851475,73.55990804829835,-65.9,-63.8
0:01:27.946627,590704.366930524,6136650.654585428,72.77986482793924,-63.8,-66.5
0:01:28.946646,590704.6771595753,6136653.143409908,72.19882741691482,-63.3,-63.3
0:01:29.946384,590704.8688457742,6136654.3050835775,71.8378087109646,-62.8,-65.4
0:01:30.948560,590704.9776868329,6136655.487318338,71.47579196032393,-66.5,-65.4
0:01:31.946876,590705.2632512901,6136657.942239727,70.77375559645941,-68.1,-71.7
0:01:32.947035,590705.5490441035,6136660.386033798,70.29971935478501,-63.8,-68.1
0:01:34.952959,590705.672308613,6136663.950823956,69.41467427142146,-68.6,-67.0
0:01:35.947298,590705.7682453655,6136665.143925548,69.12965773128656,-72.3,-73.8
0:01:36.947202,590705.8263858681,6136666.325118124,68.86664233268192,-72.8,-71.7
0:01:37.948478,590705.8784175818,6136667.495053072,68.57262722764442,-72.3,-71.7
0:01:38.949035,590706.0082882985,6136669.813189394,68.09659658665554,-73.3,-75.9
0:01:39.948687,590705.9971738113,6136670.97069421,67.80758330061857,-72.3,-73.8
0:01:41.072428,590706.1799907103,6136674.414256123,66.95853804672652,-74.4,-73.8
0:01:42.459461,590706.3840805826,6136676.822974634,66.47250436855619,-74.4,-74.4
0:01:43.830773,590706.3532263171,6136679.249127491,66.01447671453063,-72.3,-73.3
0:01:45.218866,590706.4810374033,6136681.667410013,65.60544494282976,-67.5,-69.6
0:01:45.947312,590706.4176217248,6136682.901764045,65.41943213694024,-68.1,-69.1
0:01:46.947315,590706.3806996456,6136684.081002455,65.19141927480997,-70.2,-68.6
0:01:48.672717,590706.4082137503,6136687.677220608,64.69337633132557,-71.7,-70.7
0:01:49.363428,590706.358845485,6136688.845071117,64.48736393097502,-72.3,-70.2
0:01:50.054891,590706.2454164538,6136690.045000872,64.24235285252718,-73.3,-71.7
0:01:50.947919,590706.2410966302,6136691.1803813,64.0553396376606,-71.7,-72.3
0:01:51.947070,590706.2127994741,6136692.248476514,63.87332784822533,-70.2,-71.2
0:01:52.947388,590706.1525452124,6136694.562704532,63.37530227479663,-70.2,-70.7
0:01:53.949396,590706.1864787776,6136695.687739298,63.21628816503251,-71.7,-72.3
0:01:54.947420,590706.0877423377,6136698.023440345,62.88526335725439,-74.9,-73.8
0:01:57.549693,590705.8264377348,6136702.715794365,62.296215182843696,-79.6,-81.7
0:01:58.271346,590705.750347374,6136703.949887877,62.275202707039725,-82.8,-86.5
0:01:59.629383,590705.633513822,6136706.240688723,61.84517889985309,-77.5,-83.8
0:02:00.329647,590705.538868733,6136707.452136706,61.729167180643294,-79.6,-80.7
0:02:03.673436,590705.2945446396,6136713.1689886125,61.06710650473126,-73.8,-75.4
0:02:04.366692,590705.2334167573,6136714.292069213,60.993094931798055,-72.8,-74.4
0:02:05.738606,590705.1161259814,6136716.605124798,60.71307086696234,-74.9,-74.4
0:02:06.446769,590705.0172024107,6136717.716296383,60.60806043506828,-73.8,-74.4
0:02:07.119910,590704.9499659365,6136718.828119366,60.48104915464819,-73.8,-75.4
0:02:07.947696,590704.9386224478,6136719.9967516055,60.3310357237942,-72.3,-75.4
0:02:09.202714,590704.7835361279,6136722.297898193,60.08101279675381,-73.8,-73.8
0:02:10.586887,590704.693196421,6136724.533583477,59.688988919861856,-75.4,-74.9
0:02:12.655780,590704.457512902,6136727.979674578,59.16895467030774,-77.5,-78.1
0:02:14.040724,590704.3221253236,6136730.247829986,58.90393160215771,-77.0,-77.5
0:02:14.947207,590704.2044186457,6136731.347483424,58.79792179859014,-75.9,-78.6
0:02:18.079099,590703.4033210301,6136737.00836178,58.38687650090224,-79.6,-82.8
0:02:18.946624,590703.1224438783,6136738.026736612,58.39487197834278,-83.3,-82.3
0:02:19.946520,590702.910591832,6136739.0799265485,58.41286521527219,-80.2,-82.8
0:02:20.947570,590702.5126950084,6136741.164572854,58.268851259031365,-74.9,-81.2
0:02:21.947249,590702.3062656358,6136742.262402494,58.14384382613362,-76.5,-78.1
0:02:22.950492,590702.156415263,6136743.38365932,58.07083461663262,-76.5,-78.1
0:02:23.946765,590701.8501485887,6136745.637170064,57.915816241183165,-76.5,-78.1
0:02:25.584364,590701.4811540958,6136749.091652976,57.807785403950845,-78.1,-81.7
0:02:26.964614,590701.2604761107,6136751.191074438,57.688766566179396,-79.1,-78.6
0:02:28.339340,590701.0485844538,6136753.479921411,57.56874526579634,-79.1,-79.6
0:02:29.030071,590700.9053007357,6136754.590181211,57.5027360071654,-79.1,-82.3
0:02:31.105875,590700.6078481913,6136757.9570784345,57.43470429197528,-80.7,-81.7
0:02:31.947619,590700.4448663965,6136759.100329488,57.42169516602462,-81.7,-83.3
0:02:33.184502,590700.3181057448,6136761.257341859,57.41267315229403,-82.8,-82.3
0:02:33.949847,590700.1999430247,6136762.3792501325,57.39066308731023,-81.2,-83.3
0:02:35.978145,590699.9477676008,6136765.702549931,57.32563067504984,-82.8,-83.8
0:02:36.946678,590699.8694589885,6136766.736221051,57.34662058945848,-79.1,-84.4
0:02:37.948161,590699.7592349553,6136767.7803681595,57.295611226803146,-81.7,-84.4
0:02:38.947682,590699.627738487,6136769.859358849,57.26659025033916,-82.3,-84.4
0:02:41.375345,590699.3226718009,6136773.905154849,57.21655072929267,-83.3,-85.9
0:02:44.839080,590698.905094446,6136779.106371536,57.07650058672623,-84.9,-87.0
0:02:46.247679,590698.5325514546,6136781.191539345,56.955485923470974,-84.9,-87.0
0:02:47.602351,590698.2288043452,6136783.32264956,56.85046889297919,-84.9,-87.0
0:02:48.195582,590697.9709927362,6136784.452819331,56.76546242661877,-82.8,-84.9
0:02:50.952561,590697.6131036025,6136788.90941559,56.78941944951069,-83.3,-86.5
0:02:55.789646,590696.8417035014,6136796.519014734,56.374350303102396,-84.9,-84.9
0:02:57.173776,590696.7007362144,6136798.441962122,56.28633139508047,-84.9,-84.9
0:02:59.965172,590696.0773687329,6136802.859705268,56.121295896585,-82.3,-84.4
0:03:00.946767,590695.9087380784,6136803.969444212,56.07628729770962,-81.2,-84.4
0:03:01.946431,590695.8385579353,6136806.1498839175,55.97826347357614,-80.2,-81.2
0:03:04.669438,590695.6497196,6136810.710143799,55.90321475720441,-79.6,-80.7
0:03:15.648352,590694.329638594,6136828.049011139,55.34804543570138,-83.8,-85.4
0:03:16.348798,590694.2119357744,6136829.148664941,55.29103559509621,-82.8,-85.4
